date,total_normal_beds,total_o2_beds,total_icu_beds,total_ventilator_beds,occupied_normal_beds,occupied_o2_beds,occupied_icu_beds,occupied_ventilator_beds
2022-01-06,11277,15962,3609,1690,42,143,86,16
2022-01-07,11277,15962,3609,1690,52,172,82,15
2022-01-08,11297,15982,3619,1690,79,223,103,17
2022-01-09,15925,20763,5382,2110,152,443,179,43
2022-01-10,16077,21086,5396,2149,169,417,182,40
2022-01-11,16435,22011,5483,2176,182,451,171,45
2022-01-12,16722,22726,5574,2203,227,517,217,47
2022-01-13,16866,23171,5619,2211,190,626,210,52
2022-01-14,16896,23176,5621,2211,208,759,238,50
2022-01-15,16912,23196,5625,2211,226,837,241,58
2022-01-16,16912,23196,5625,2211,186,684,233,50
2022-01-17,74711,24422,7260,2406,42365,11142,3623,1474
2022-01-18,69574,24452,7205,2400,38611,11175,3521,1482
2022-04-01,5441,14696,2859,,1,8,4,
2022-04-03,5441,14696,2859,,1,6,4,
2022-04-04,4316,12689,2544,,2,7,2,
2022-04-05,4316,12689,2544,,1,7,2,
2022-04-06,4316,12689,2544,,1,7,2,
2022-04-07,4316,12689,2544,,0,7,2,
2022-04-09,4316,12689,2544,,0,7,2,
2022-04-10,4316,12689,2544,,0,6,2,
2022-04-11,4316,12689,2544,,0,6,2,
2022-04-12,4316,12689,2544,,0,2,2,
2022-04-13,4316,12689,2544,,0,2,2,
2022-04-14,4316,12689,2544,,0,2,2,
2022-04-15,4316,12689,2544,,0,2,2,
2022-04-16,4316,12689,2544,,0,2,2,
2022-04-17,4316,12689,2544,,0,2,3,
2022-04-18,4316,12689,2544,,0,2,2,
2022-04-19,4316,12689,2544,,0,2,2,
2022-04-20,4316,12689,2544,,0,3,2,
2022-04-21,4316,12689,2544,,0,3,2,
2022-04-22,4316,12689,2544,,0,3,2,
2022-04-23,4316,12689,2544,,0,3,3,
2022-04-24,4316,12689,2544,,0,2,3,
2022-04-25,4316,12689,2544,,0,2,3,
2022-04-27,4316,12689,2544,,0,2,3,
2022-04-28,4316,12689,2544,,0,1,3,
2022-04-29,4316,12689,2544,,0,1,3,
2022-04-30,4316,12689,2544,,0,1,3,
2022-05-01,4316,12689,2544,,0,1,3,
2022-05-02,4316,12689,2544,,0,1,3,
2022-05-03,4316,12689,2544,,0,1,3,
2022-05-04,4316,12689,2544,,0,1,3,
2022-05-05,4316,12689,2544,,0,1,3,
2022-05-06,4316,12689,2544,,0,1,3,
2022-05-07,4316,12689,2544,,0,1,3,
2022-05-08,4316,12689,2544,,0,1,3,
2022-05-09,4316,12689,2544,,0,1,3,
2022-05-10,4316,12689,2544,,0,1,3,
2022-05-11,4316,12689,2544,,0,1,3,
2022-05-12,4316,12689,2544,,0,1,3,
2022-05-13,4316,12689,2544,,1,2,3,
2022-05-14,4316,12689,2544,,1,2,3,
2022-05-15,4316,12689,2544,,1,2,3,
2022-05-16,4316,12689,2544,,1,2,3,
2022-05-17,4316,12689,2544,,0,1,3,
2022-05-18,4316,12689,2544,,0,1,3,
2022-05-19,4316,12689,2544,,0,1,3,
2022-05-20,4316,12689,2544,,0,1,3,
2022-05-21,4316,12689,2544,,0,1,3,
2022-05-22,4316,12689,2544,,0,1,3,
2022-05-23,4316,12689,2544,,0,1,3,
2022-05-24,4316,12689,2544,,0,1,3,
2022-05-25,4316,12689,2544,,0,1,3,
2022-05-26,4316,12689,2544,,0,1,3,
2022-05-27,4316,12689,2544,,0,1,3,
2022-05-29,4316,12689,2544,,0,1,3,
2022-05-30,4316,12689,2544,,0,1,3,
2022-05-31,4316,12689,2544,,0,1,3,
2022-06-01,4316,12689,2544,,0,1,4,
2022-06-02,4316,12689,2544,,0,1,4,
2022-06-03,4316,12689,2544,,0,1,4,
