date,total_normal_beds,total_icu_beds,occupied_normal_beds,occupied_icu_beds,cumulative_admissions_to_date,new_male_admissions,new_female_admissions,new_all_admissions,new_male_discharges,new_female_discharges,new_all_discharges,new_male_deaths,new_female_deaths,new_all_deaths,pedriatric_male_deaths,pedriatric_female_occupancy,pedriatric_all_occupancy
2021-11-12,1119,209,123,40,19833,15,9,24,13,5,18,0,0,0,0,0,0
2021-11-13,1119,209,118,47,19851,11,7,18,10,4,14,0,1,1,0,0,0
2021-11-14,1119,209,128,50,19875,16,8,24,5,5,10,1,1,2,0,0,0
2021-11-17,1119,209,118,47,19930,16,14,30,15,13,28,1,0,1,2,0,2
2021-11-18,1119,209,116,46,19948,12,6,18,5,11,16,2,2,4,2,0,2
2021-11-19,1119,209,114,48,19960,8,4,12,9,4,13,0,1,1,2,0,2
2021-11-20,1119,209,120,49,19977,11,6,17,8,2,10,0,0,0,1,2,3
2021-11-21,1119,209,117,49,19991,10,4,14,5,11,16,1,0,1,1,1,2
2021-11-22,1119,209,103,50,20007,10,6,16,16,13,29,0,0,0,0,1,1
2021-11-23,1119,209,105,48,20027,11,9,20,11,5,16,1,1,2,1,1,2
2021-11-24,1119,209,104,46,20036,4,5,9,3,9,12,0,0,0,0,0,0
2021-11-25,1119,209,99,46,20046,7,3,10,5,6,11,0,1,1,1,0,1
2021-12-03,787,159,71,32,20124,6,7,13,6,4,10,0,1,1,1,1,2
2021-12-04,787,159,69,31,20137,2,11,13,14,1,15,1,0,1,1,1,2
2021-12-05,787,159,70,31,20147,6,4,10,3,3,6,1,1,2,1,1,2
2021-12-06,787,159,76,24,20155,8,0,8,1,7,8,1,0,1,1,1,2
2021-12-07,787,159,69,24,20159,2,2,4,2,9,11,0,0,0,1,1,2
2021-12-08,787,159,78,22,20171,9,3,12,2,3,5,0,0,0,1,0,1
2021-12-09,787,159,79,23,20180,5,4,9,5,2,7,0,0,0,1,0,1
2021-12-10,787,159,67,19,20185,2,3,5,13,5,18,1,2,3,2,0,2
2021-12-11,787,159,57,21,20188,2,1,3,3,7,10,0,0,0,0,0,0
2021-12-12,787,159,55,20,20195,4,3,7,4,6,10,0,0,0,0,0,0
2021-12-14,787,159,45,16,20199,1,2,3,9,2,11,1,0,1,0,0,0
2021-12-15,787,159,48,15,20211,7,5,12,6,3,9,1,0,1,2,0,2
2021-12-17,787,159,48,16,20226,1,8,9,2,3,5,0,0,0,2,0,2
2021-12-18,783,159,47,15,20229,0,3,3,3,0,3,0,2,2,2,0,2
2021-12-19,783,159,45,16,20232,0,3,3,0,4,4,0,0,0,2,0,2
2021-12-20,783,159,51,17,20240,7,1,8,0,1,1,0,0,0,2,0,2
2021-12-21,783,159,46,20,20247,3,4,7,4,5,9,0,0,0,2,0,2
2021-12-22,783,159,41,20,20253,0,6,6,4,6,10,0,1,1,2,0,2
2021-12-24,783,159,34,16,20261,1,2,3,13,2,15,0,1,1,0,0,0
2021-12-26,783,159,29,17,20272,2,3,5,2,6,8,0,0,0,0,0,0
2021-12-27,783,159,31,16,20277,4,1,5,2,1,3,1,0,1,1,0,1
2021-12-28,783,159,27,13,20279,1,1,2,5,4,9,0,0,0,1,0,1
2021-12-29,783,159,26,14,20285,5,1,6,1,4,5,0,0,0,1,0,1
2021-12-30,783,159,28,15,20290,2,3,5,0,2,2,0,0,0,1,0,1
2021-12-31,783,159,26,15,20294,2,2,4,5,1,6,0,0,0,1,0,1
2022-01-01,783,159,28,14,20301,1,6,7,3,3,6,0,0,0,1,0,1
2022-01-03,783,159,36,13,20312,3,2,5,1,1,2,0,1,1,1,0,1
2022-01-04,783,159,30,11,20314,1,1,2,3,5,8,2,0,2,1,0,1
2022-01-05,783,159,36,12,20324,7,3,10,2,1,3,0,0,0,0,0,0
2022-01-06,783,159,32,12,20327,2,1,3,3,3,6,1,0,1,0,0,0
2022-01-07,783,159,39,11,20336,7,2,9,0,3,3,0,0,0,0,0,0
2022-01-08,783,159,46,12,20346,7,3,10,0,1,1,0,1,1,2,0,2
2022-01-09,783,159,52,13,20356,6,4,10,2,0,2,0,1,1,2,0,2
2022-01-11,783,159,51,15,20372,9,3,12,4,7,11,0,0,0,4,0,4
2022-01-12,783,159,55,15,20381,5,4,9,4,1,5,0,0,0,4,0,4
2022-01-14,783,159,76,19,20416,8,11,19,6,1,7,0,0,0,6,0,6
2022-01-15,783,159,86,19,20436,9,11,20,5,3,8,1,1,2,6,1,7
2022-01-16,783,159,80,25,20462,17,9,26,16,9,25,1,0,1,2,1,3
2022-01-17,933,209,105,21,20487,15,10,25,3,1,4,0,0,0,4,1,5
2022-01-18,1153,242,133,26,20539,28,24,52,8,8,16,0,0,0,8,1,9
2022-01-19,1153,242,149,25,20571,16,16,32,8,9,17,0,0,0,9,6,15
2022-01-20,1153,242,167,30,20614,20,23,43,8,10,18,2,0,2,10,4,14
2022-01-21,1153,242,178,36,20652,22,16,38,7,12,19,2,0,2,11,4,15
2022-01-22,1153,242,226,34,20726,34,40,74,14,11,25,1,1,2,9,5,14
2022-01-23,1153,242,242,33,20768,23,19,42,11,12,23,3,0,3,7,8,15
2022-01-24,1153,242,219,35,20803,14,21,35,33,19,52,1,1,2,11,5,16
2022-01-25,1153,242,221,35,20836,20,13,33,13,14,27,3,1,4,10,6,16
2022-01-26,1153,242,232,34,20876,17,23,40,15,12,27,3,0,3,11,6,17
2022-01-27,1153,242,253,34,20919,22,21,43,10,10,20,2,0,2,9,4,13
2022-01-28,1153,242,244,35,20965,21,25,46,29,24,53,1,0,1,12,6,18
2022-01-30,1153,242,251,38,21071,32,20,52,24,20,44,2,1,3,12,6,18
2022-02-01,1153,242,213,40,21149,21,11,32,22,55,77,2,2,4,10,6,16
2022-02-02,1153,242,222,34,21201,20,32,52,34,12,46,3,0,3,8,5,13
2022-02-03,1153,242,209,30,21238,22,15,37,26,24,50,1,0,1,7,4,11
2022-02-04,1153,242,192,33,21267,21,8,29,15,24,39,2,1,3,9,2,11
2022-02-06,1153,242,185,38,21345,16,20,36,32,17,49,3,1,4,5,3,8
2022-02-08,1153,242,177,33,21399,16,10,26,16,20,36,2,4,6,6,1,7
2022-02-09,1153,242,157,33,21413,8,6,14,14,18,32,0,2,2,6,1,7
2022-02-10,1153,242,157,31,21439,16,10,26,13,14,27,1,0,1,5,2,7
2022-02-11,1153,242,139,31,21466,17,10,27,25,15,40,1,1,2,4,2,6
2022-02-13,1153,242,129,25,21492,4,7,11,14,6,20,1,2,3,3,2,5
2022-02-14,1153,242,127,26,21517,8,17,25,15,10,25,1,0,1,1,2,3
2022-02-15,1153,242,107,28,21529,5,7,12,13,15,28,2,0,2,1,2,3
2022-02-17,1153,242,107,29,21569,11,5,16,5,11,16,1,1,2,4,1,5
2022-02-20,1153,242,80,21,21589,3,6,9,4,11,15,1,3,4,4,1,5
2022-02-22,1153,242,64,16,21607,5,1,6,7,4,11,3,0,3,4,1,5
2022-02-23,1153,242,56,18,21615,3,5,8,10,4,14,0,0,0,1,1,2
2022-02-24,1153,242,63,12,21628,5,8,13,4,7,11,1,0,1,1,2,3
2022-02-25,1153,242,66,10,21634,1,5,6,3,0,3,1,1,2,1,2,3
2022-02-26,1153,242,56,9,21641,4,3,7,12,5,17,0,1,1,2,1,3
2022-02-28,1153,242,45,8,21649,2,3,5,2,5,7,1,0,1,1,2,3
