date,total_hospitalization
2021-05-10,221
2021-05-11,238
2021-05-12,245
2021-05-13,248
2021-05-14,249
2021-05-15,255
2021-05-16,244
2021-05-17,241
2021-05-18,269
2021-05-19,271
2021-05-20,270
2021-05-21,258
2021-05-22,250
2021-05-23,257
2021-05-24,273
2021-05-25,265
2021-05-26,243
2021-05-27,228
2021-05-28,240
2021-05-29,239
2021-05-30,238
2021-05-31,228
2021-06-01,226
2021-06-02,209
2021-06-03,195
2021-06-04,192
2021-06-05,183
2021-06-06,175
2021-06-07,172
2021-06-08,164
2021-06-09,166
2021-06-10,158
2021-06-11,149
2021-06-12,152
2021-06-13,153
2021-06-14,139
2021-06-15,136
2021-06-16,127
2021-06-17,109
2021-06-18,112
2021-06-19,98
2021-06-20,97
2021-06-21,100
2021-06-22,99
2021-06-23,88
2021-06-24,85
2021-06-25,86
2021-06-26,71
2021-06-27,69
2021-06-28,64
2021-06-29,66
2021-06-30,68
2021-07-01,59
2021-07-02,64
2021-07-03,73
2021-07-04,77
2021-07-05,80
2021-07-06,78
2021-07-07,74
2021-07-08,76
2021-07-09,77
2021-07-10,128
2021-07-11,98
2021-07-12,100
2021-07-13,104
2021-07-14,95
2021-07-15,101
2021-07-16,93
2021-07-17,80
2021-07-18,79
2021-07-19,87
2021-07-20,85
2021-07-21,90
2021-07-22,90
2021-07-23,90
2021-07-24,85
2021-07-25,93
2021-07-26,93
2021-07-27,96
2021-07-28,96
2021-07-29,102
2021-07-30,102
2021-07-31,101
2021-08-01,99
2021-08-02,90
2021-08-03,97
2021-08-04,98
2021-08-05,99
2021-08-06,94
2021-08-07,83
2021-08-08,77
2021-08-09,77
2021-08-10,80
2021-08-11,74
2021-08-12,71
2021-08-13,76
2021-08-14,71
2021-08-15,69
2021-08-16,67
2021-08-17,68
2021-08-18,66
2021-08-19,67
2021-08-20,77
2021-08-21,84
2021-08-22,71
2021-08-23,
2021-08-24,76
2021-08-25,65
2021-08-26,61
2021-08-27,60
2021-08-28,63
2021-08-29,70
2021-08-30,
2021-08-31,76
2021-09-01,71
2021-09-02,69
2021-09-03,65
2021-09-04,65
2021-09-05,65
2021-09-06,69
2021-09-07,73
2021-09-08,61
2021-09-09,62
2021-09-10,65
2021-09-11,66
2021-09-12,66
2021-09-13,55
2021-09-14,48
2021-09-15,43
2021-09-16,44
2021-09-17,43
2021-09-19,45
2021-09-20,49
2021-09-21,47
2021-09-22,46
2021-09-23,45
2021-09-24,46
2021-09-25,43
2021-09-26,47
2021-09-27,
2021-09-28,39
2021-09-29,32
2021-09-30,28
2021-10-01,29
2021-10-02,31
2021-10-03,33
2021-10-04,
2021-10-05,35
2021-10-06,24
2021-10-07,35
2021-10-08,37
2021-10-09,33
2021-10-10,36
2021-10-12,40
2021-10-13,40
2021-10-14,38
2021-10-15,41
2021-10-16,40
2021-10-17,32
2021-10-19,46
2021-10-22,47
2021-10-23,46
2021-10-24,44
2021-10-26,24
2021-10-27,21
2021-10-28,22
2021-10-29,26
2021-10-30,28
2021-10-31,22
2021-11-01,25
2021-11-02,26
2021-11-03,20
2021-11-04,22
2021-11-05,21
2021-11-06,23
2021-11-07,38
2021-11-09,19
2021-11-10,16
2021-11-11,16
2021-11-12,14
2021-11-13,14
2021-11-14,15
2021-11-16,13
2021-11-17,12
2021-11-18,12
2021-11-19,24
2021-11-20,13
2021-11-21,14
2021-11-22,12
2021-11-23,9
2021-11-24,11
2021-11-25,14
2021-11-26,13
2021-11-27,13
2021-11-28,12
2021-11-30,13
2021-12-01,9
2021-12-02,7
2021-12-03,7
2021-12-04,8
2021-12-05,7
2021-12-06,7
2021-12-07,5
2021-12-08,6
2021-12-09,5
2021-12-10,6
2021-12-11,10
2021-12-12,10
2021-12-13,6
2021-12-14,1
2021-12-15,2
2021-12-16,2
2021-12-17,2
2021-12-18,3
2021-12-20,1
2021-12-21,1
2021-12-22,2
2021-12-23,1
2021-12-24,0
2021-12-25,0
2021-12-28,3
2021-12-29,3
2021-12-30,3
2021-12-31,3
2022-01-01,3
2022-01-03,4
2022-01-04,4
2022-01-05,5
2022-01-06,2
2022-01-07,3
2022-01-08,3
2022-01-09,3
2022-01-10,5
2022-01-11,6
2022-01-12,14
2022-01-13,7
2022-01-14,9
2022-01-15,9
2022-01-16,6
2022-01-17,
2022-01-18,10
