date,icu,hdu,step_down,pediatric,others,male,female,u12,u40,u60,u80,plus80,chandigarh,punjab,haryana,himachal,other_states,cumulative_icu,cumulative_hdu,cumulative_step_down,cumulative_pediatric,cumulative_others,cumulative_male,cumulative_female,cumulative_u12,cumulative_u40,cumulative_u60,cumulative_u80,cumulative_plus80,cumulative_chandigarh,cumulative_punjab,cumulative_haryana,cumulative_himachal,cumulative_other_states,discharged,deaths
2020-05-16,2,0,0,0,78,39,41,16,41,18,5,0,78,2,0,0,0,7,0,0,0,129,73,63,21,69,37,9,0,121,11,3,0,1,51,9
2020-05-19,1,0,0,0,78,38,41,18,40,17,4,0,75,2,1,0,1,7,0,0,0,133,76,64,23,71,37,9,0,122,11,4,0,3,64,9
2020-05-19,1,0,0,0,78,38,41,18,40,17,4,0,75,2,1,0,1,7,0,0,0,133,76,64,23,71,37,9,0,122,11,4,0,3,64,9
2020-06-18,6,0,0,0,13,10,9,0,4,11,3,1,9,4,4,1,1,15,0,0,0,152,92,75,24,77,51,13,2,137,17,9,1,3,147,9
2020-07-18,18,0,0,0,45,38,25,2,21,19,20,1,24,24,8,2,5,47,0,0,0,241,164,124,29,125,87,43,4,197,57,18,3,13,233,21
2020-08-05,45,0,0,0,68,66,47,3,52,35,21,2,46,37,12,7,11,115,0,0,0,372,278,209,44,212,148,77,6,278,121,43,14,31,329,39
2020-10-29,11,0,0,0,78,48,41,5,29,35,17,3,23,33,12,13,8,228,0,0,0,1728,1163,793,174,760,630,356,36,709,661,270,167,149,1474,417
2020-11-25,15,0,0,0,89,69,35,6,38,34,26,0,37,30,16,8,13,257,0,0,0,2042,1372,927,206,890,727,436,40,811,784,322,201,181,1730,488
2021-05-19,58,172,14,4,76,213,111,29,84,130,79,2,79,110,68,25,42,1492,1556,1374,18,573,2996,2017,442,1840,1592,1061,78,1471,1838,816,462,421,3646,1031
2022-01-12,20,51,72,10,11,81,83,11,112,30,9,2,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-15,15,94,76,17,2,107,97,19,125,38,21,1,80,58,32,19,14,2046,2666,1538,180,2327,5225,3532,632,3101,2877,1966,181,2109,3541,1494,881,720,5761,2162
2022-01-16,16,88,60,16,5,97,88,18,111,36,20,0,67,56,30,18,13,2049,2661,1538,180,2333,5228,3533,632,3103,2878,1968,180,2109,3543,1494,882,721,5781,2163
2022-01-17,15,71,35,17,11,79,70,19,83,29,18,0,47,48,26,17,10,2047,2668,1544,182,2337,5238,3540,634,3113,2879,1972,180,2114,3547,1494,887,724,5831,2169
2022-01-18,17,78,24,27,8,87,67,28,75,30,20,1,40,46,29,21,17,2051,2688,1546,189,2339,5256,3557,641,3126,2886,1978,182,2121,3558,1501,891,730,5854,2178
2022-01-19,19,86,21,25,7,91,67,25,75,30,25,3,46,44,31,21,14,2054,2709,1549,194,2346,5282,3570,646,3146,2894,1983,183,2133,3570,1506,898,732,5877,2182
2022-01-20,18,99,17,28,10,104,68,28,79,32,30,3,42,55,36,23,14,2055,2731,1553,200,2349,5308,3580,652,3163,2898,1992,183,2139,3582,1515,902,737,5900,2187
2022-01-21,20,97,17,32,11,107,70,32,76,34,32,3,44,55,37,28,12,2063,2748,1554,209,2354,5329,3599,661,3178,2909,1997,183,2149,3596,1522,911,737,5918,2190
2022-01-22,21,96,17,31,13,116,62,32,71,39,33,3,38,54,35,30,18,2063,2762,1557,215,2361,5352,3606,669,3189,2916,2001,183,2154,3606,1528,915,742,5950,2195
2022-01-23,19,91,16,32,11,109,60,33,69,35,29,3,38,53,36,26,15,2063,2766,1559,219,2363,5358,3612,673,3194,2917,2002,184,2156,3608,1533,916,745,5965,2202
2022-01-24,17,91,12,27,12,104,55,27,65,36,26,5,31,46,42,25,14,2065,2778,1559,224,2367,5374,3619,679,3200,2924,2005,185,2157,3617,1542,918,747,5990,2206
2022-01-25,20,107,9,29,8,110,63,30,71,40,28,4,32,56,43,28,13,2069,2814,1559,227,2371,5399,3641,682,3226,2937,2010,185,2164,3639,1550,924,750,6016,2209
2022-01-26,18,100,10,29,17,108,66,31,68,43,29,3,32,56,45,26,14,2068,2817,1561,233,2382,5411,3650,689,3230,2942,2015,185,2166,3647,1556,925,754,6032,2212
2022-01-27,20,104,7,35,16,110,72,37,71,46,26,2,29,63,44,28,16,2074,2836,1563,240,2385,5429,3669,696,3247,2949,2020,186,2171,3664,1561,933,756,6054,2218
2022-01-28,18,107,6,34,22,109,78,36,75,46,27,3,27,66,42,29,22,2074,2843,1563,250,2399,5447,3682,706,3261,2953,2023,186,2174,3674,1567,937,764,6073,2226
2022-01-29,19,103,4,35,17,105,73,36,68,42,28,4,28,60,41,27,22,2075,2846,1565,253,2402,5451,3690,709,3267,2954,2024,187,2181,3676,1569,937,765,6087,2228
