date,occupied_o2_beds,occupied_icu_beds,occupied_ventilator_beds,new_icu,new_ventilator
2021-04-01,334,,33,5,5
2021-04-02,345,,33,5,1
2021-04-03,313,,33,8,4
2021-04-04,322,,33,9,3
2021-04-05,367,,26,15,2
2021-04-06,357,,29,42,4
2021-04-07,369,,24,8,0
2021-04-08,386,,24,4,3
2021-04-09,406,,43,21,19
2021-04-10,371,,35,7,4
2021-04-11,342,,43,10,11
2021-04-12,360,,45,12,5
2021-04-13,363,,50,0,11
2021-04-14,374,,51,9,4
2021-04-15,374,,40,21,4
2021-04-16,386,,43,37,6
2021-04-17,401,,46,11,4
2021-04-18,429,,48,9,10
2021-04-19,463,,43,11,5
2021-04-20,480,,48,48,6
2021-04-21,495,,42,6,1
2021-04-22,508,,38,21,3
2021-04-23,527,,44,22,6
2021-04-24,556,,61,56,18
2021-04-25,584,,74,7,17
2021-04-26,665,,85,13,22
2021-04-27,677,,83,40,8
2021-04-28,700,,97,20,16
2021-04-29,648,,97,67,12
2021-04-30,669,,99,24,3
2021-05-01,644,,114,56,24
2021-05-02,7525,,229,36,11
2021-05-03,7845,,213,34,18
2021-05-10,9376,,298,39,8
2021-05-12,9736,,342,11,14
2021-05-13,9619,,429,21,2
2021-05-14,9820,,421,36,1
2021-05-15,9902,,429,4,7
2021-05-16,9796,,443,7,10
2021-05-17,9936,1221.0,419,0,3
2021-05-18,8202,1213.0,422,24,9
2021-05-19,7939,1130.0,405,5,4
2021-05-20,7613,1133.0,407,17,35
2021-05-21,7448,1114.0,418,4,3
2021-05-22,7280,1127.0,381,13,5
2021-05-23,7154,1024.0,386,4,8
2021-05-24,6743,1011.0,387,9,11
2021-05-25,6357,958.0,386,2,8
2021-05-26,6007,942.0,354,0,2
2021-05-27,5809,943.0,358,2,8
2021-05-28,5302,920.0,369,1,7
2021-05-29,4918,878.0,326,15,8
2021-05-30,4740,861.0,310,5,0
2021-05-31,4450,825.0,314,0,9
2021-06-01,4163,785.0,296,14,2
2021-06-02,3887,791.0,300,1,3
2021-06-03,3680,730.0,288,4,5
2021-06-04,3575,735.0,284,8,1
2021-06-05,3424,704.0,295,2,4
2021-06-06,3255,684.0,276,3,6
2021-06-07,3198,723.0,250,0,2
2021-06-08,3094,654.0,247,8,5
2021-06-09,3024,619.0,240,0,0
2021-06-10,2797,655.0,212,14,6
2021-06-11,2716,625.0,197,2,3
2021-06-12,2659,604.0,195,0,3
2021-06-13,2567,582.0,191,4,1
2021-06-14,2529,586.0,188,2,6
2021-06-15,2342,520.0,185,10,2
2021-06-16,2243,507.0,164,6,1
2021-06-17,2117,478.0,164,0,5
2021-06-18,2062,460.0,170,0,6
2021-06-19,2010,456.0,168,0,1
2021-06-20,1896,442.0,168,0,3
2021-06-21,1861,437.0,156,1,2
2021-06-22,1813,438.0,155,7,5
2021-06-23,1804,419.0,157,5,1
2021-06-24,1730,390.0,127,5,1
2021-06-25,1676,373.0,114,0,5
2021-06-26,1628,373.0,120,5,1
2021-06-27,1602,383.0,120,0,0
2021-06-28,1560,381.0,114,3,1
2021-06-29,1509,359.0,106,1,0
2021-06-30,1501,339.0,103,2,3
2021-07-01,1471,334.0,105,3,4
2021-07-02,1478,322.0,102,1,1
2021-07-03,1457,320.0,101,4,3
2021-07-04,1405,314.0,96,2,0
2021-07-05,294,93.0,45,3,2
2021-07-06,294,93.0,45,1,6
2021-07-07,647,217.0,89,0,1
2021-07-08,458,167.0,43,2,0
2021-07-09,417,170.0,48,0,0
2021-07-10,423,163.0,45,1,1
2021-07-11,304,105.0,13,0,0
2021-07-12,278,82.0,18,1,1
2021-07-13,294,95.0,23,0,6
2021-07-14,196,76.0,14,0,1
2021-07-15,194,78.0,17,1,0
2021-07-17,149,49.0,16,3,0
2021-07-18,136,41.0,14,3,0
2021-07-19,125,42.0,11,3,1
2021-07-20,112,39.0,11,0,0
2021-07-21,102,36.0,11,1,1
2021-07-22,101,29.0,13,0,1
2021-07-23,96,36.0,14,2,2
2021-07-24,89,29.0,13,1,0
2021-07-25,69,29.0,12,2,1
2021-07-26,76,27.0,13,0,0
2021-07-27,75,26.0,12,0,1
2021-07-28,65,21.0,11,0,1
2021-07-29,59,19.0,11,0,1
2021-07-31,50,22.0,6,1,0
2021-08-01,51,22.0,8,0,0
2021-08-02,41,21.0,4,0,0
2021-08-03,38,17.0,5,0,1
2021-08-04,47,20.0,7,0,1
2021-08-05,46,18.0,8,0,0
2021-08-09,37,16.0,2,0,0
2021-08-14,37,13.0,1,0,0
2021-08-15,37,13.0,3,0,2
2021-08-16,39,12.0,4,0,1
2021-08-17,31,12.0,1,0,0
2021-08-19,27,10.0,2,0,1
2021-08-20,28,13.0,3,0,1
2021-08-21,35,17.0,2,0,0
2021-08-22,30,11.0,2,0,0
2021-08-23,28,11.0,3,0,1
2021-08-24,25,8.0,2,0,0
2021-08-28,28,11.0,2,0,0
2021-08-29,29,15.0,3,4,1
2021-09-01,27,15.0,5,0,1
2021-09-02,28,16.0,5,1,0
2021-09-03,30,16.0,3,0,0
2021-09-04,29,15.0,2,0,0
2021-09-05,29,12.0,3,0,1
2021-09-06,29,15.0,2,3,0
2021-09-07,33,16.0,2,1,0
2021-09-08,29,13.0,1,0,0
2021-09-10,30,11.0,3,0,3
2021-09-11,28,12.0,0,0,0
2021-09-12,26,12.0,0,0,0
2021-09-13,30,9.0,2,0,2
2021-09-14,28,9.0,2,0,0
2021-09-16,18,8.0,0,0,0
2021-09-17,20,8.0,0,0,0
2021-09-18,17,8.0,0,0,0
2021-09-19,20,11.0,0,3,0
2021-09-22,20,6.0,1,0,1
2021-09-23,19,4.0,2,0,1
2021-09-24,17,4.0,2,0,0
2021-09-25,19,4.0,2,0,0
2021-09-26,17,4.0,2,0,0
2021-09-27,21,6.0,1,2,0
2021-09-28,22,5.0,1,0,0
2021-09-29,23,8.0,1,3,0
2021-09-30,24,5.0,1,0,0
2021-10-01,24,5.0,2,0,1
2021-10-04,25,9.0,1,2,0
2021-10-05,23,9.0,1,0,0
2021-10-06,19,6.0,1,0,0
2021-10-07,18,5.0,1,0,0
2021-10-08,17,4.0,2,0,1
2021-10-09,15,3.0,1,0,0
2021-10-11,11,2.0,1,0,1
2021-10-12,13,4.0,1,2,0
2021-10-13,16,6.0,1,2,0
2021-10-14,15,6.0,1,0,0
2021-10-16,14,6.0,1,0,0
2021-10-17,19,7.0,0,1,0
2021-10-18,21,8.0,0,1,0
2021-10-19,18,7.0,0,0,0
2021-10-20,20,8.0,0,1,0
2021-10-21,21,8.0,0,0,0
2021-10-22,22,7.0,0,0,0
2021-10-25,20,6.0,0,0,0
2021-10-26,17,6.0,0,0,0
2021-10-27,17,7.0,0,1,0
2021-10-28,18,7.0,0,0,0
2021-10-29,19,6.0,0,0,0
2021-10-30,17,5.0,0,0,0
2021-11-01,11,3.0,0,0,0
2021-11-02,17,4.0,0,1,0
2021-11-03,13,3.0,0,0,0
2021-11-04,13,2.0,0,0,0
2021-11-05,13,2.0,0,0,0
2021-11-06,14,3.0,0,1,0
2021-11-07,18,4.0,0,1,0
2021-11-08,23,8.0,1,4,1
2021-11-09,19,7.0,1,0,0
2021-11-10,21,7.0,1,0,0
2021-11-11,23,10.0,1,3,0
2021-11-12,23,10.0,1,0,0
2021-11-13,23,10.0,1,0,0
2021-11-15,29,8.0,1,0,0
2021-11-16,26,9.0,1,1,0
2021-11-17,33,13.0,1,4,0
2021-11-18,32,12.0,1,0,0
2021-11-21,31,12.0,3,0,2
2021-11-22,32,13.0,1,1,0
2021-11-23,33,15.0,1,2,0
2021-11-24,35,15.0,2,0,1
2021-11-25,32,13.0,2,0,0
2021-11-26,33,13.0,2,0,0
2021-11-27,34,12.0,3,0,1
2021-11-28,35,12.0,1,0,0
2021-11-29,39,16.0,2,4,1
2021-11-30,35,11.0,2,0,0
2021-12-01,31,10.0,2,0,0
2021-12-02,38,14.0,3,4,1
2021-12-04,36,15.0,0,0,0
2021-12-05,38,13.0,0,0,0
2021-12-06,36,14.0,0,1,0
2021-12-07,36,16.0,0,2,0
2021-12-08,35,13.0,0,0,0
2021-12-09,29,8.0,0,0,0
2021-12-10,27,7.0,0,0,0
2021-12-11,30,10.0,0,3,0
2021-12-12,30,10.0,0,0,0
2021-12-15,25,7.0,1,0,1
2021-12-16,21,7.0,1,0,0
2021-12-19,25,11.0,0,0,0
2021-12-20,24,14.0,0,3,0
2021-12-21,18,10.0,0,0,0
2021-12-23,27,14.0,0,1,0
2021-12-24,24,12.0,1,0,1
2021-12-25,23,12.0,1,0,0
2021-12-27,21,9.0,0,0,0
2021-12-28,22,11.0,0,2,0
2021-12-29,17,9.0,1,0,1
2021-12-31,26,12.0,1,0,0
2022-01-03,50,15.0,2,1,1
2022-01-04,54,15.0,1,0,0
2022-01-05,53,14.0,2,0,1
2022-01-06,49,13.0,6,0,4
2022-01-07,62,20.0,6,7,0
2022-01-08,226,55.0,11,35,5
2022-01-09,254,75.0,10,20,2
2022-01-10,304,85.0,12,11,4
2022-01-11,338,91.0,13,13,4
2022-01-12,290,80.0,12,2,3
2022-01-13,460,130.0,19,55,9
2022-01-14,485,122.0,30,8,12
2022-01-15,521,138.0,25,16,0
2022-01-17,698,176.0,41,14,9
2022-01-18,756,209.0,47,33,9
2022-01-19,773,232.0,53,28,12
2022-01-20,842,287.0,95,58,45
2022-01-21,1015,302.0,98,27,5
2022-01-22,1072,304.0,106,39,9
2022-01-23,1130,326.0,109,27,12
2022-01-24,1191,333.0,106,26,6
2022-01-25,1165,322.0,100,6,6
2022-01-26,1206,331.0,92,26,4
