date,total_normal_beds,total_o2_beds,total_icu_beds,occupied_normal_beds,occupied_o2_beds,occupied_icu_beds
2022-01-06,22038,21885,11887,356,514,428
2022-01-07,22168,21950,11894,385,531,421
2022-01-08,22168,21950,11894,407,551,427
2022-01-09,22172,21960,11904,442,564,427
2022-01-10,22172,21960,11904,445,569,423
2022-01-11,22172,21960,11904,507,610,456
2022-01-12,22172,21960,11906,557,637,460
2022-01-13,22191,21987,11916,633,711,464
2022-01-14,22268,22020,11923,692,815,479
2022-01-15,22268,22020,11923,692,825,497
2022-01-16,22273,22020,11923,690,856,537
2022-01-17,22273,22020,11923,775,967,576
2022-01-18,22277,22107,11984,841,1022,622
2022-01-19,22279,22107,11984,908,1079,649
2022-01-20,22284,22122,11998,949,1177,689
2022-01-21,0,0,0,0,0,0
2022-01-22,0,0,0,0,0,0
2022-01-23,0,0,0,0,0,0
2022-01-24,22295,22227,12038,1129,1337,826
2022-01-25,22301,22265,12065,1121,1370,836
2022-01-26,22302,22274,12067,1118,1411,792
2022-01-27,22307,22276,12067,1142,1429,833
2022-01-28,22316,22293,12080,1084,1413,845
2022-01-29,22393,22388,12138,1091,1390,850
2022-01-30,22266,22274,16092,1049,1324,842
2022-01-31,22282,22274,16096,1014,1360,829
2022-02-01,22112,22030,11878,905,1306,769
2022-02-02,22115,22036,11887,865,1255,772
2022-02-03,22115,22036,11887,847,1237,750
2022-02-04,22115,22036,11887,849,1177,763
2022-02-05,22115,22036,11887,789,1118,732
2022-02-06,22115,22036,11887,773,1072,714
2022-02-07,22115,22036,11888,755,1032,688
2022-02-08,22115,22036,11888,688,980,639
2022-02-09,22115,22096,11994,614,879,604
2022-02-10,22123,22116,12013,592,877,566
2022-02-11,22123,22116,12013,539,805,517
2022-02-12,22133,22116,12013,516,740,496
2022-02-13,22133,22116,12016,472,715,471
2022-02-14,22133,22116,12016,453,689,455
2022-02-15,22133,22116,12016,429,617,428
2022-02-16,22133,22116,12016,374,589,398
2022-02-17,22133,22116,12016,364,551,364
2022-02-18,22133,22116,12016,328,528,349
2022-02-19,22133,22116,12016,303,496,327
2022-02-20,22133,22116,12016,293,474,328
2022-02-21,22133,22116,12016,270,450,315
2022-02-22,22133,22116,12016,263,417,296
2022-02-23,22133,22116,12016,260,400,272
2022-02-24,22133,22116,12016,249,385,264
2022-02-25,22133,22116,12016,232,363,256
2022-02-26,22133,22116,12016,229,354,257
2022-02-27,22133,22116,12016,230,346,253
2022-02-28,22133,22116,12016,232,344,232
2022-03-01,22133,22116,12016,225,347,226
2022-03-02,22133,22116,12016,220,341,226
2022-03-03,22133,22116,12016,219,336,222
2022-03-04,22133,22116,12016,217,332,218
2022-03-05,22133,22116,12016,213,332,218
2022-03-06,0,0,0,0,0,0
2022-03-07,0,0,0,0,0,0
2022-03-08,0,0,0,0,0,0
2022-03-09,0,0,0,0,0,0
2022-03-10,0,0,0,0,0,0
2022-03-11,0,0,0,0,0,0
2022-03-12,0,0,0,0,0,0
2022-03-13,0,0,0,0,0,0
2022-03-14,0,0,0,0,0,0
2022-03-15,0,0,0,0,0,0
2022-03-16,0,0,0,0,0,0
2022-03-17,0,0,0,0,0,0
2022-03-18,0,0,0,0,0,0
2022-03-19,0,0,0,0,0,0
2022-03-20,0,0,0,0,0,0
2022-03-21,0,0,0,0,0,0
2022-03-22,0,0,0,0,0,0
2022-03-23,0,0,0,0,0,0
2022-03-24,0,0,0,0,0,0
2022-03-25,0,0,0,0,0,0
2022-03-26,0,0,0,0,0,0
2022-03-27,0,0,0,0,0,0
2022-03-28,0,0,0,0,0,0
2022-03-29,0,0,0,0,0,0
2022-03-30,0,0,0,0,0,0
2022-03-31,0,0,0,0,0,0
2022-04-01,0,0,0,0,0,0
2022-04-02,0,0,0,0,0,0
