date,total_normal_beds,occupied_normal_beds
2022-01-14,2518,2475
2022-01-15,4460,4353
2022-01-16,5396,5241
2022-01-17,5773,5539
2022-01-18,6909,6627
2022-01-19,7347,7063
2022-01-20,5663,5383
2022-01-21,5892,5597
2022-01-22,5782,5492
2022-01-23,5027,4721
2022-01-24,4846,4547
2022-01-25,4857,4563
2022-01-26,4748,4471
2022-01-27,4484,4238
2022-01-28,3861,3649
2022-01-29,4718,4482
2022-01-30,4647,4436
2022-01-31,4512,4314
2022-02-01,3752,3562
2022-02-02,4307,4129
2022-02-03,4290,4128
2022-02-04,4264,4107
2022-02-05,4196,4053
2022-02-06,4252,4124
